id, comm, latitude, longitude
272, 29, 40.76465, -74.04768
273, 8, 40.70735, -73.91425
274, 4, 40.67957, -73.86109
275, 11, 40.73172, -73.98541
276, 8, 40.713837, -74.03799
277, 0, 40.7342, -73.99044
278, 0, 40.95984, -73.86125
279, 18, 40.71877, -74.001015
280, 4, 40.82955, -73.92636
281, 23, 40.740105, -73.92357
282, 1, 40.736004, -73.99588
283, 35, 40.501804, -74.27121
284, 26, 40.75143, -73.984024
285, 0, 40.71721, -73.99158
286, 17, 40.617653, -74.03358
287, 4, 40.771687, -73.85785
288, 13, 40.76065, -73.97561
289, 0, 40.810383, -73.95967
291, 5, 40.73299, -73.79429
292, 23, 40.777416, -74.01834
293, 0, 40.79826, -73.940994
294, 5, 40.74298, -73.99537
295, 4, 40.74378, -74.028046
296, 34, 40.72553, -74.00422
297, 31, 40.730927, -73.954384
298, 13, 40.781452, -73.98094
299, 13, 40.745815, -74.01026
300, 7, 40.748512, -73.98871
301, 0, 40.683754, -73.97251
302, 13, 40.714203, -73.77772
303, 0, 40.72029, -74.03368
304, 12, 40.73478, -73.98834
305, 19, 40.773853, -73.95145
306, 25, 40.858784, -73.8862
308, 0, 40.761425, -74.00093
309, 0, 40.727947, -74.00197
310, 5, 40.756226, -73.88115
311, 0, 40.648235, -74.007034
312, 0, 40.83876, -73.941444
313, 0, 40.742577, -73.99206
314, 0, 40.708755, -74.012085
315, 8, 40.79019, -74.04943
316, 0, 40.721226, -73.9946
317, 6, 40.739773, -73.70006
318, 0, 40.69169, -73.96806
320, 3, 40.571884, -74.112236
321, 5, 40.69899, -73.888596
322, 0, 40.808414, -73.96516
323, 1, 40.723663, -73.988335
324, 10, 40.865303, -73.86714
325, 6, 40.754814, -73.92539
326, 4, 40.633305, -73.94774
327, 6, 40.769234, -73.73675
328, 0, 40.837864, -73.81868
329, 0, 40.805984, -73.965416
330, 14, 40.671463, -73.95648
331, 25, 40.604343, -73.99807
332, 1, 40.76294, -73.97607
333, 14, 40.63747, -74.007515
334, 3, 40.749763, -73.86179
335, 5, 40.50887, -74.24632
336, 34, 40.71467, -73.990456
338, 0, 40.73709, -73.992805
339, 0, 40.67243, -73.983604
340, 8, 40.71647, -74.035675
341, 0, 40.704967, -73.917404
342, 0, 40.72556, -73.98447
343, 3, 40.515015, -74.242874
344, 4, 40.744934, -73.99317
345, 24, 40.73711, -73.99041
346, 11, 40.753784, -73.97865
347, 19, 40.72554, -74.01145
348, 3, 40.76477, -73.916595
349, 5, 40.66824, -73.68122
350, 6, 40.76142, -73.96799
351, 0, 40.641964, -73.98076
352, 3, 40.72268, -73.99239
353, 0, 40.74786, -73.85252
354, 8, 40.60378, -74.069626
356, 5, 40.783867, -73.973465
357, 1, 40.679375, -73.978485
358, 0, 40.721146, -73.953835
359, 0, 40.694267, -73.93069
360, 8, 40.85081, -73.96659
361, 21, 40.6009, -74.00072
362, 0, 40.703194, -73.98805
363, 29, 40.759636, -73.96082
364, 18, 40.70671, -73.66478
365, 7, 40.74365, -73.62007
366, 1, 40.58975, -73.93828
367, 5, 40.687546, -73.85048
368, 8, 40.731167, -74.06401
369, 0, 40.769997, -73.91739
371, 0, 40.707653, -74.00822
372, 0, 40.72191, -73.98452
373, 19, 40.75388, -73.782036
374, 4, 40.824776, -73.944214
375, 13, 40.785164, -73.95554
376, 25, 40.70505, -74.01135
378, 5, 40.677315, -73.98311
379, 6, 40.741505, -74.00969
380, 7, 40.915703, -73.8535
381, 4, 40.847527, -73.919914
382, 1, 40.690857, -73.776146
383, 0, 40.670525, -73.95055
385, 31, 40.744656, -73.8825
386, 3, 40.52487, -74.200645
387, 13, 40.707386, -73.796196
388, 4, 40.696064, -73.99464
389, 0, 40.710262, -73.9438
390, 0, 40.68702, -73.99034
391, 25, 40.79825, -73.940865
392, 31, 40.629948, -73.96149
393, 18, 40.574272, -73.8629
395, 4, 40.758835, -73.996185
396, 21, 40.714413, -73.95754
397, 0, 40.73594, -73.993774
398, 3, 40.780537, -73.97476
399, 0, 40.736374, -74.004456
400, 5, 40.659157, -73.64614
401, 31, 40.880035, -73.906654
402, 14, 40.74128, -74.02962
403, 0, 40.6833, -73.93512
404, 31, 40.776672, -73.81736
405, 13, 40.724976, -74.00363
406, 26, 40.670834, -73.98495
407, 14, 40.612057, -74.16081
