id, latitude, longitude, comm
14140851,40.7275245757,-73.9875808869,0
9477535,40.7746547086,-73.9515824881,13
5728502,40.7083481354,-73.9522643255,0
4567765,40.7280858455,-73.9818782395,3
4555241,40.7598505144,-73.9297915191,0
8806783,40.7560575551,-73.9700423523,0
14402449,40.742129963,-73.9764846121,8
7789678,40.814827333,-73.9609047344,29
4652059,40.7163795496,-73.9667095461,41
9093032,40.8037690252,-73.9653453297,1
13451599,40.7211828922,-73.9806551592,21
7496211,40.7072512715,-74.0153297014,18
1835865,40.7895661337,-73.9490664051,8
9093038,40.6999066316,-73.9281563873,35
343276,40.7578185845,-73.9934934641,8
12751209,40.7449699009,-74.0040085285,0
4392996,40.7856754806,-73.9769849588,17
13788789,40.7703208915,-73.9874064498,4
11676984,40.7765385427,-73.9490361692,11
10561771,40.8073356798,-73.9466628953,4
9867391,40.7612182857,-73.9616833867,5
422414,40.6787561313,-73.9109798852,25
13693976,40.6761096311,-73.9410606898,4
12377748,40.7542953672,-73.9949261042,0
727547,40.7384396635,-73.9545608146,8
4038988,40.8544704116,-73.9300671754,13
1524017,40.7446064754,-74.0017173779,29
12082111,40.7068057324,-74.0086867603,0
5862845,40.7113323999,-73.9876243658,25
5397157,40.7207062732,-73.9490244848,5
9507689,40.7616552119,-73.9916710777,21
11776428,40.7262558598,-74.003462828,0
2670166,40.7108045718,-73.9421723026,24
2187072,40.6793541775,-73.9803004368,61
12916955,40.6823372143,-73.9484310345,29
9596868,40.7976299295,-73.9637999102,1
2017397,40.6668741338,-73.9561939995,4
10032285,40.8048264521,-73.9648615837,1
16051734,40.6809042464,-73.9479766452,6
7638133,40.7669062572,-73.9316990092,31
4456094,40.6761733005,-73.9702290021,21
24143,40.7133183597,-73.9417726573,0
6881043,40.7267859432,-73.9779334878,0
6135381,40.6915011239,-73.9132441863,31
1834738,40.7386468352,-73.996204228,0
13044203,40.7642458289,-73.9884433538,4
15409762,40.7071694548,-73.9436587325,12
10798553,40.7253958529,-73.9524626152,0
13042051,40.7162961722,-73.9439352083,10
4752020,40.8330052325,-73.9394020137,32
5590400,40.8125121028,-73.9510205928,1
7325230,40.7017363983,-73.926622295,7
7827531,40.7023600706,-73.9420415756,4
433414,40.68783212,-73.9602248673,0
15266366,40.7540261452,-73.9790075908,25
8654577,40.6721405353,-73.9770868985,24
769806,40.6938398637,-73.9542939664,6
5415168,40.8208086932,-73.9476988389,5
15996701,40.7323600957,-74.0092992944,0
5661080,40.749238751,-73.9978419068,14
