id, longitude, latitude, comm
406,-73.98495,40.670834,4
407,-74.16081,40.612057,16
408,-74.03991,40.71872,9
409,-74.00167,40.68416,29
410,-73.96444,40.76829,15
411,-73.97301,40.609043,23
412,-73.83139,40.763752,7
413,-73.99612,40.750088,33
414,-73.88342,40.666386,19
415,-73.98371,40.697372,29
416,-73.95584,40.767483,12
417,-74.07532,40.637356,0
418,-73.99585,40.743954,27
419,-73.96578,40.67747,3
420,-73.947945,40.66384,19
421,-73.98594,40.757122,0
422,-73.9596,40.655674,4
423,-73.9503,40.71682,22
426,-73.98011,40.75145,3
427,-73.87854,40.756252,14
428,-73.97606,40.75493,15
429,-73.97707,40.663418,4
430,-74.03626,40.850533,10
432,-74.00442,40.728245,2
435,-73.94709,40.632122,19
436,-73.98391,40.74879,33
437,-73.93299,40.851612,40
438,-73.9735,40.763123,8
439,-73.927055,40.818638,32
440,-73.99321,40.716,1
441,-73.8865,40.677605,4
442,-73.95104,40.78223,12
443,-73.98765,40.752197,0
444,-73.97363,40.743763,3
445,-73.99506,40.73976,1
446,-73.80016,40.703403,54
447,-73.93275,40.856373,40
448,-73.89522,40.76629,14
449,-74.023605,40.779034,10
450,-73.97073,40.760525,15
451,-73.971375,40.75495,15
452,-73.98898,40.758568,0
454,-73.56514,40.723404,21
455,-73.98175,40.73827,1
456,-73.93262,40.753098,1
457,-74.02612,40.6218,23
459,-74.00103,40.731293,34
460,-73.9917,40.76618,0
461,-73.98454,40.75159,0
462,-73.82783,40.713566,30
463,-73.84326,40.843575,15
464,-73.98173,40.735508,15
465,-73.963844,40.807682,5
466,-73.957825,40.79019,12
467,-73.98198,40.66636,4
468,-74.030815,40.737732,9
469,-73.94089,40.845516,40
470,-74.0016,40.73076,34
472,-73.925514,40.769245,6
473,-73.9892,40.73014,1
474,-73.9884,40.77762,8
476,-74.00875,40.63633,23
477,-73.822075,40.822357,32
478,-73.977295,40.761387,5
479,-73.613144,40.73859,21
480,-73.96361,40.77334,27
481,-73.98553,40.73065,1
482,-73.978,40.67457,1
483,-73.87756,40.7756,14
484,-73.83731,40.691658,54
486,-73.66046,40.63961,22
487,-74.06,40.709694,9
488,-73.92475,40.827675,32
489,-73.91432,40.83793,32
490,-74.00765,40.707645,20
491,-74.1485,40.660213,13
492,-73.91182,40.640884,19
493,-73.99005,40.703773,29
497,-73.93881,40.799744,12
498,-73.9986,40.733227,34
499,-73.978516,40.745422,3
501,-73.986824,40.687576,22
502,-73.95272,40.666996,4
503,-73.99292,40.762993,0
504,-73.98355,40.76777,8
505,-73.92537,40.86256,40
506,-73.84229,40.86771,32
508,-73.99333,40.73381,1
511,-73.98705,40.75888,0
512,-73.955925,40.772778,12
513,-73.73633,40.713596,21
514,-73.92342,40.58997,23
515,-73.78511,40.74007,7
516,-73.988976,40.74195,33
517,-73.980896,40.781845,8
518,-73.89084,40.816875,5
519,-73.993,40.751797,33
520,-73.95989,40.77978,22
521,-73.99867,40.84661,2
522,-73.98033,40.660538,4
523,-73.99146,40.729797,8
524,-73.95079,40.819626,5
525,-74.103355,40.62847,16
526,-73.989334,40.730415,1
527,-73.97526,40.787533,8
528,-73.90633,40.750908,14
529,-73.78954,40.76806,7
530,-73.973526,40.686317,4
531,-73.98234,40.756706,0
532,-73.95507,40.599026,23
533,-74.103905,40.587223,16
534,-73.94512,40.80845,5
535,-73.98006,40.747185,3
536,-73.99291,40.73648,3
537,-73.84786,40.835308,40
538,-73.96121,40.77725,13
539,-73.98262,40.77339,8
540,-73.97787,40.754555,15
541,-73.991615,40.744473,3
542,-73.918274,40.75989,6
543,-73.57499,40.697273,25
544,-73.8852,40.872635,12
545,-73.69281,40.706985,25
546,-73.99781,40.72349,2
548,-73.978264,40.723984,1
549,-74.00302,40.728245,34
550,-73.97504,40.762363,13
552,-74.016304,40.713192,20
553,-73.88981,40.633125,19
554,-73.90906,40.761005,6
555,-74.002235,40.65951,4
556,-73.93958,40.78627,12
558,-74.17567,40.541546,16
559,-73.60497,40.718777,21
560,-73.824486,40.78632,7
561,-73.99601,40.682125,4
562,-73.71909,40.726025,21
563,-74.03091,40.737247,9
564,-73.96635,40.762604,0
565,-74.21684,40.544376,16
566,-73.95079,40.662933,4
567,-73.98681,40.74247,3
568,-74.01151,40.62966,4
569,-73.77991,40.89765,0
570,-73.98456,40.72564,1
571,-73.984474,40.588047,23
572,-73.77961,40.67799,54
573,-74.0081,40.71695,20
574,-73.95924,40.720375,22
575,-74.010475,40.7331,27
576,-73.99352,40.700546,29
577,-74.00584,40.71171,20
578,-73.810936,40.7648,7
579,-73.99162,40.750515,33
580,-73.53642,40.74255,21
581,-73.94817,40.71615,22
582,-74.00731,40.72845,34
583,-73.81737,40.819084,32
584,-73.95412,40.67152,4
585,-73.95333,40.811123,5
587,-73.94468,40.747166,6
589,-73.99967,40.761024,0
590,-73.86133,40.75022,14
591,-73.99274,40.7304,1
593,-73.91871,40.744972,6
594,-73.93246,40.61871,23
595,-73.99209,40.72738,1
596,-73.95521,40.68922,4
597,-73.99834,40.723515,2
598,-73.93458,40.84784,40
599,-73.95015,40.671688,4
600,-73.66463,40.65836,21
601,-73.998665,40.728527,34
602,-74.02502,40.62376,15
603,-73.9629,40.59688,23
604,-73.99134,40.673637,29
605,-73.87167,40.77438,14
606,-74.00639,40.707066,20
607,-73.855965,40.840332,32
608,-73.96345,40.606754,4
609,-73.91612,40.764217,6
610,-74.02038,40.77384,10
611,-73.94423,40.707138,22
612,-73.95221,40.766056,27
613,-73.958534,40.775375,12
614,-73.83078,40.844162,32
615,-73.988815,40.756912,0
616,-74.00169,40.60763,23
617,-73.99606,40.695366,29
618,-73.929146,40.68376,4
619,-73.67415,40.65389,20
620,-73.85499,40.906467,40
621,-73.77106,40.76233,7
622,-73.980286,40.765358,0
624,-73.79431,40.713493,54
625,-73.93694,40.62016,23
626,-73.75496,40.68232,25
627,-74.04424,40.71516,9
628,-74.14802,40.62327,16
629,-74.01262,40.706833,20
630,-73.9816,40.701286,4
632,-73.98432,40.750835,0
633,-73.85821,40.726013,5
635,-73.8711,40.76478,14
636,-73.984634,40.739582,3
637,-73.97859,40.75446,15
638,-73.624306,40.71119,21
639,-73.99469,40.75853,0
640,-74.02853,40.629593,23
641,-74.017624,40.702656,20
642,-73.87185,40.733425,14
643,-73.8378,40.78155,7
644,-74.2169,40.55064,16
645,-74.04646,40.78612,10
646,-74.00206,40.74118,27
647,-73.84253,40.720562,30
648,-73.79569,40.71468,54
649,-73.9071,40.886242,40
650,-73.66738,40.67766,25
651,-73.94516,40.824207,5
652,-73.978615,40.763832,13
653,-74.003876,40.733166,27
654,-73.993706,40.672283,4
655,-73.984535,40.7444,3
657,-73.62393,40.710323,21
658,-73.99059,40.7371,3
659,-73.89279,40.88289,40
661,-73.97194,40.855938,10
662,-73.9874,40.70392,29
663,-73.99581,40.763496,0
664,-73.9381,40.804596,5
665,-73.98711,40.76144,0
666,-73.92713,40.67911,19
667,-73.63185,40.71791,21
668,-73.98936,40.73575,3
669,-73.900375,40.886406,40
670,-74.01219,40.704197,20
672,-74.01668,40.673836,1
673,-73.9483,40.710983,22
674,-73.97786,40.766827,13
675,-74.157646,40.612106,16
676,-73.98745,40.756577,0
677,-73.99502,40.750477,33
678,-73.99633,40.744156,27
679,-73.98882,40.720776,1
680,-74.002144,40.72459,2
681,-73.9612,40.777737,32
